Occupational Interest,Job Zone,Code,Occupation
43,1-2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
42,3,53-2012.00,Commercial Pilots
42,1-2,47-5023.00,"Earth Drillers, Except Oil and Gas"
42,3,15-1299.02,Geographic Information Systems Technologists and Technicians
42,3,51-7031.00,"Model Makers, Wood"
42,1-2,47-2211.00,Sheet Metal Workers
42,3,27-4014.00,Sound Engineering Technicians
42,4,19-3099.01,Transportation Planners
41,1-2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
41,1-2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
41,1-2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
40,3,27-4011.00,Audio and Video Technicians
40,3,11-3013.00,Facilities Managers
40,4,11-3051.00,Industrial Production Managers
40,3,51-7032.00,"Patternmakers, Wood"
40,1-2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
39,3,19-4031.00,Chemical Technicians
39,1-2,51-2021.00,"Coil Winders, Tapers, and Finishers"
39,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
39,1-2,47-3013.00,Helpers--Electricians
39,1-2,53-4011.00,Locomotive Engineers
37,5,25-1031.00,"Architecture Teachers, Postsecondary"
37,1-2,49-3091.00,Bicycle Repairers
37,1-2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
37,4,17-1012.00,Landscape Architects
37,1-2,53-7073.00,Wellhead Pumpers
36,1-2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
36,3,29-2035.00,Magnetic Resonance Imaging Technologists
36,4,15-1244.00,Network and Computer Systems Administrators
36,4,11-3051.01,Quality Control Systems Managers
35,4,19-5011.00,Occupational Health and Safety Specialists
35,4,15-1299.04,Penetration Testers
34,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
34,4,19-2031.00,Chemists
34,1-2,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
34,3,27-4015.00,Lighting Technicians
34,5,15-2021.00,Mathematicians
34,3,19-5012.00,Occupational Health and Safety Technicians
34,1-2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
33,1-2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
33,1-2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
33,1-2,51-9083.00,Ophthalmic Laboratory Technicians
33,1-2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
33,1-2,49-9096.00,Riggers
33,1-2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
33,1-2,47-5071.00,"Roustabouts, Oil and Gas"
32,5,25-1021.00,"Computer Science Teachers, Postsecondary"
32,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
32,3,29-2033.00,Nuclear Medicine Technologists
32,3,19-4099.01,Quality Control Analysts
32,1-2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
32,1-2,47-2171.00,Reinforcing Iron and Rebar Workers
31,5,19-1021.00,Biochemists and Biophysicists
31,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
31,4,17-1021.00,Cartographers and Photogrammetrists
31,4,15-1211.00,Computer Systems Analysts
31,1-2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
31,1-2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
31,1-2,47-2132.00,"Insulation Workers, Mechanical"
31,1-2,49-9094.00,Locksmiths and Safe Repairers
31,1-2,51-4051.00,Metal-Refining Furnace Operators and Tenders
31,5,11-9121.00,Natural Sciences Managers
31,5,29-1024.00,Prosthodontists
31,3,29-1124.00,Radiation Therapists
31,3,29-2034.00,Radiologic Technologists and Technicians
31,1-2,51-2092.00,Team Assemblers
30,5,19-1029.01,Bioinformatics Scientists
30,3,29-2031.00,Cardiovascular Technologists and Technicians
30,1-2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
30,1-2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
30,1-2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
30,1-2,51-4071.00,Foundry Mold and Coremakers
30,5,25-1054.00,"Physics Teachers, Postsecondary"
30,3,49-9064.00,Watch and Clock Repairers
29,4,15-2099.01,Bioinformatics Technicians
29,1-2,53-7031.00,Dredge Operators
29,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
29,4,27-2012.05,Media Technical Directors/Managers
29,3,49-9063.00,Musical Instrument Repairers and Tuners
29,1-2,47-2072.00,Pile Driver Operators
29,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
29,4,13-1199.07,Security Management Specialists
